| Имя звезды | Галактика | Масса (солнечные массы) | Радиус (солнечные радиусы) | Расстояние до Земли (световые годы) | Температура (Кельвины) |
| --- | --- | --- | --- | --- | --- |
| Betelgeuse | Млечный путь | 20 | 1180 | 650 | 3600 |
| Rigel | Млечный путь | 23 | 78 | 860 | 12100 |
| Alpha Centauri B | Млечный путь | 0.907 | 0.865 | 4.37 | 5260 |
| V838 Monocerotis | Млечный путь | 6.5 | 380 | 20000 | 3600 |
| Antares | Млечный путь | 15 | 680 | 550 | 3500 |
| Epsilon Eridani | Млечный путь | 0.82 | 0.83 | 10.5 | 5080 |
| Canopus | Млечный путь | 8.4 | 71 | 310 | 7400 |
| M31V J00443728+4122258 | Андромеда | 0.13 | 0.2 | 2300000 | 3400 |
| M31V J00453397+4130237 | Андромеда | 0.16 | 0.23 | 2500000 | 3600 |
| M31V J00455571+4109252 | Андромеда | 0.13 | 0.2 | 2500000 | 3400 |
| Barnard's Star | Млечный путь | 0.17 | 0.196 | 5.96 | 3134 |
| Wolf 359 | Млечный путь | 0.09 | 0.16 | 7.78 | 2800 |
| HD 189733 | Млечный путь | 0.8 | 0.76 | 63 | 4600 |
| Gliese 667 C | Млечный путь | 0.31 | 0.39 | 22 | 3680 |
